2021-11-10 07:51:06.549 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'formContentFilter'
2021-11-10 07:51:06.550 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration'
2021-11-10 07:51:06.567 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'characterEncodingFilter'
2021-11-10 07:51:06.580 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.w.s.ServletContextInitializerBeans : Mapping filters: characterEncodingFilter urls=[/*] order=-2147483648, formContentFilter urls=[/*] order=-9900, requestContextFilter urls=[/*] order=-105
2021-11-10 07:51:06.580 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.w.s.ServletContextInitializerBeans : Mapping servlets: dispatcherServlet urls=[/]
2021-11-10 07:51:06.638 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.w.s.f.OrderedRequestContextFilter  : Filter 'requestContextFilter' configured for use
2021-11-10 07:51:06.639 DEBUG Joness-MacBook-Air.local--- [           main] s.b.w.s.f.OrderedCharacterEncodingFilter : Filter 'characterEncodingFilter' configured for use
2021-11-10 07:51:06.640 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.w.s.f.OrderedFormContentFilter     : Filter 'formContentFilter' configured for use
2021-11-10 07:51:06.671 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'shoppingApplication'
2021-11-10 07:51:06.673 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'productController'
2021-11-10 07:51:06.689 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'productService'
2021-11-10 07:51:06.702 DEBUG Joness-MacBook-Air.local--- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
